Item,Dose,Number,Medium,Boxes,Location
Clotrimazole,,13,,13 box,Storage
Syringe 60 cc,0.70%,2,eye drops,,Storage
Hot compress,2%,2,Cream,,Storage
Hydrocortisone cream,,4,,4 box,Storage
Kerlix,1%,1,Cream,,Storage
Otoscope specula,,850,,19 packs,Storage
Decon Suture removal kit,,29,,3 boxes,Storage
small brown paper bags,1%,100,Cream,,Storage
flush syringes,,60,,2 boxes,Storage
tongue blades,,0,,6 boxes,Storage
Disinfecting wipes,,1,,,Storage
Suture removal kit,,39,,,Storage
XS nitrile gloves,,600,,3 boxes,Storage
Narcan,,18,,9 boxes,Storage
Specimen containers,,8,,,Storage
Nasal cannula,,8,,,Storage
oxygen mask,,3,,,Storage
vaginal speculum,,3,,,Storage
sterile laceration tray,,7,,,Storage
surgical gloves size 6.5,,26,,,Storage
mask with face shield,,50,,2,Storage
other masks,,10,,,Storage
gauze sponge 2-pack,,275,,11,Storage
safety blood collection set,,6,,,Storage
thermometer,,4,,,Storage
ace bandage,,4,,4,Storage
pen needles,,257,,13,Storage
hemoccult,,200,,2,Storage
lancets,,35,,,Storage
insulin syringes with BD ultra-fine needle,,6,,,Storage
glucose monitor,,4,,3,Storage
binders,,2,,,Tan cart
sharps container (big),,1,,,Tan cart
sharps container (little),,1,,,Tan cart
tape dispenser,,1,,,Tan cart
2 hole punch,,1,,,Tan cart
narcan,,7,,3,Tan cart
blood pressure cuff (broken),,2,,,Tan cart
electronic wrist blood pressure monitor,,1,,1,Tan cart
label maker,,1,,,Tan cart
chux (waterproof pads),,19,,,Tan cart
sterile utility bowl,,2,,,Tan cart
Diclofenac gel,,12,,,topical care and hot compress drawer
Prenatal Vitamins,,1,,,
Earache drops,,2,,2,Pain meds drawer
Omeprazole,,8,,2,GI Meds drawer (bottom)
Miralax,,10,,1,GI Meds drawer (top)
Miconazole Antifungal,,8,,2,Topical care drawer
Triple Antibiotic,,4,drops,1,Topical care drawer
Triple Antibiotic,20 mg,4,tablets,2,Storage
Covid-19 test,,1,powder,1,top of drawers
Instant cold packs,2%,6,Cream,,bandage rolls
Instant cold packs,,19,Ointment,,Storage
band aids,,280,Ointment,,Storage
glucose test strips,,1,,,
,,0,,,
,,0,,,
,,0,,,
,,0,,,
